RegionNew,RegionOld
Auvergne-Rhône-Alpes,Auvergne
Auvergne-Rhône-Alpes,Rhône-Alpes
Bourgogne-Franche-Comté,Bourgogne
Bourgogne-Franche-Comté,Franche-Comté
Bretagne,Bretagne
Centre-Val de Loire,Centre
Corse,Corse
Grand Est,Alsace
Grand Est,Champagne-Ardenne
Grand Est,Lorraine
Guadeloupe,Guadeloupe
Guyane,Guyane
Hauts-de-France,Nord-Pas-de-Calais
Hauts-de-France,Picardie
Ile-de-France,Ile-de-France
La Réunion,La Réunion
Martinique,Martinique
Mayotte,Mayotte
Normandie,Basse-Normandie
Normandie,Haute-Normandie
Nouvelle-Aquitaine,Aquitaine
Nouvelle-Aquitaine,Limousin
Nouvelle-Aquitaine,Poitou-Charentes
Occitanie,Languedoc-Roussillon
Occitanie,Midi-Pyrénées
Pays de la Loire,Pays de la Loire
Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur
